seasonName,MatchStartTime,Facility,PlayingAs
"Late-Fall Open Soft-core","2018-11-21 19:00:00","Seattle Sporting Center","Community Team2 Late Fall Open Soft-core"
"Late-Fall Open Soft-core","2018-11-28 19:00:00","Seattle Sporting Center","Community Team2 Late Fall Open Soft-core"
"Late-Fall Open Soft-core","2018-12-05 19:00:00","Seattle Sporting Center","Community Team2 Late Fall Open Soft-core"
"Late-Fall Open Soft-core","2018-12-12 19:00:00","Seattle Sporting Center","Community Team2 Late Fall Open Soft-core"
"Late-Fall Open Soft-core","2018-12-19 19:00:00","Seattle Sporting Center","Community Team2 Late Fall Open Soft-core"
"Early Winter Open Soft-core ","2019-01-02 19:00:00","Seattle Sporting Center","Masters of the Court"
"Early Winter Open Soft-core ","2019-01-09 19:00:00","Seattle Sporting Center","Masters of the Court"
"Early Winter Open Soft-core ","2019-01-16 19:00:00","Seattle Sporting Center","Masters of the Court"
"Early Winter Open Soft-core ","2019-01-23 19:00:00","Seattle Sporting Center","Masters of the Court"
"Early Winter Open Soft-core ","2019-01-30 19:00:00","Seattle Sporting Center","Masters of the Court"
