idGAME,seasonName,facilityName,DateTimeStart
1,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-11-21 19:00:00"
2,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-11-21 19:00:00"
3,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-11-21 19:00:00"
4,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-11-28 19:00:00"
5,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-11-28 19:00:00"
6,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-11-28 19:00:00"
7,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-05 19:00:00"
8,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-05 19:00:00"
9,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-05 19:00:00"
10,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-12 19:00:00"
11,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-12 19:00:00"
12,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-12 19:00:00"
13,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-19 19:00:00"
14,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-19 19:00:00"
15,"Late-Fall Open Soft-core","Seattle Sporting Center","2018-12-19 19:00:00"
